"Account Balance","账户余额"
"Available Balance","可用余额"
"Discount(Balance)","余额支付"
"Balance Statement","余额记录"
"Balance Refund","余额退款"
"Cancel recharge successfully.","取消充值成功。"
"Current available balance.","当前无可使用余额。"
"Instant Recharge","立即充值"
"Product for Recharge","用于充值产品"
"Recharge","充值"
"Refunded","已退款"
"Recharge Amount","充值金额"
"Recharge Orders","充值订单"
"Recharge Product","充值产品"
"Restore Spent Balances After Order Refunding","订单退款后返还已使用余额"
"Successful Trade","交易成功"
"You have %d balances left. You can use %d for current transaction.","您当前有余额%d。您可以使用%d余额进行当前操作。"
