"(NULL)","(无)"
"Action","操作"
"An error detected. Please try again later.","发生了错误，请稍后重试。"
"An error detected. Please contact us or try again later.","发生了错误，请联系客服或稍后再试。"
"April","四月"
"August","八月"
"Available","可用"
"Back to ","返回"
"Cancel","取消"
"Captcha","验证码"
"Confirm","确认"
"Confirm Password","确认密码"
"Cookie seems to be disabled in your browser.","Cookie似乎被禁用了"
"Customize","自定义"
"December","十二月"
"Default","默认"
"Delete","删除"
"Description","描述"
"Disable","禁用"
"Disabled","已禁用"
"Edit","编辑"
"Edit %s","编辑%s"
"Enable","启用"
"Enabled","已启用"
"February","二月"
"Filename","文件名"
"Format","格式"
"Forgot Your Password?","忘记密码？"
"General","常规"
"Home","首页"
"Hidden","隐藏"
"Invalid token.","授权失败。"
"Item(s) per page","每页显示"
"January","一月"
"JavaScript seems to be disabled in your browser.","JavaScript似乎被禁用了"
"July","七月"
"June","六月"
"Keywords","关键字"
"Language","语言"
"Login","登录"
"Logout","注销"
"Management","管理"
"March","三月"
"May","五月"
"Merchant","商户"
"Month","月份"
"Name","名称"
"No","否"
"November","十一月"
"October","十月"
"Other","其他"
"Password","密码"
"Path","路径"
"Percentage","比例"
"Please Select","请选择"
"Prohibit the purchase of goods sold.","禁止购买自销产品。"
"Refused","已拒绝"
"Remember Me","记住我"
"Reset","重置"
"Save","保存"
"Search","搜索"
"Separated by semicolon(;)","使用分号(;)隔开"
"September","九月"
"Sign in","登录"
"Sign out","退出"
"Sort by","排序"
"Status","状态"
"Store","店铺"
"Submit","提交"
"Success","成功"
"The captcha value is wrong.","验证码输入有误。"
"The confirm password is not equal to the password.","两次密码输入不一致。"
"The form submitted did not originate from the expected site.","页面长时间未响应，请刷新后重试。"
"The name field is required and can not be empty.","名称不可为空"
"The password field is required and can not be empty.","密码不可为空。"
"The password has been reset successfully.","密码重置成功。"
"The username field is required and can not be empty.","用户名不可为空。"
"Timezone","时区"
"Title","标题"
"Total %d page(s)","共%d页"
"Unavailable","不可用"
"Username","用户名"
"View More","查看更多"
"Welcome ","欢迎"
"Welcome %s","欢迎%s"
"Year","年份"
"Yes","是"
"Yes/No","是/否"
"You must have Cookie enabled in your browser to utilize the functionality of this website.","请启用Cookie以便于您获得更好的浏览体验。"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","请启用JavaScript以便于您获得更好的浏览体验。"
"You probably tried to upload a file that is too large.","您想要上传的文件可能太大了"
