"Activity Registration","活动报名"
"Add Watermark","添加水印"
"Agency","代理"
"After Service","售后服务"
"After Sales Attitude","售后态度"
"After Sales Speed","售后速度"
"After Sales Number","售后编号"
"After Sales Reason","售后原因"
"Application","开店申请"
"Application to open a store is completely free. Each ID could only open one store.","申请开店完全免费。每个账号只能够申请一个店铺。"
"Approving","等待审核"
"Adapter cell phone","适配手机"
"Add Categorey","添加分类"
"Brand","品牌"
"Brand Management","品牌管理"
"Comment Management","评价管理"
"Compare Yesterday","较前日"
"Contact Infomation","联系方式"
"Current Position","当前位置"
"Description Match","描述相符"
"Edit Application","编辑申请"
"Free","免费"
"File Name","文件名"
"Size","大小"
"Import","插入"
"Product Management", "商品管理"
"Product Name","商品名称"
"Product Category","商品分类管理"
"History Record", "历史商品记录"
"History after Sale Service","历史售后服务"
"ID Card 1","身份证正面"
"ID Card 2","身份证反面"
"Logistics Service","物流服务"
"Less than %.2f%%", "低于%.2f%%"
"Mobile Phone Store","手机店铺"
"Marketing Center","营销中心"
"Member Relationship Management","会员关系管理"
"Move","移动"
"&nbsp;&nbsp;Non-payment","待付款"
"&nbsp;&nbsp;Non-receiving","待收货"
"&nbsp;&nbsp;Non-evaluation","待评价"
"New Visitor","新访客"
"New","新建"
"Number of Visitors:&nbsp;","访客数量"
"Old Visitor","老访客"
"Order Form:&nbsp;","订单"
"Own","自主"
"Paid","付费"
"PC","PC端"
"Photo Space","图片空间"
"Phone Number","电话号码"
"Logo","标志"
"Promotion Management","促销管理"
"Reapply","重新申请"
"Release Product", "发布商品"
"Real Time Index","实时指标"
"Register for a Business Account","申请开店"
"Register Now","立即申请"
"Rename","重命名"
"Retailer Application", "开店申请"
"Retailer Center", "卖家中心"
"Supplementation","填写信息"
"Sales of Product Order","商品销售排行"
"Sales Amount","销售金额"
"Sales Amount :&nbsp;","销售金额"
"Sales of Product", "出售中的商品"
"Service Attitude","服务态度"
"Select File","选择文件"
"Sold Product","已卖出的商品"
"Store Dynamic Score","实时指标"
"Store Dynamic Score","店铺动态评分"
"Store Infomation","店铺信息"
"Store infomation has been updated successfully.","店铺信息已更新成功。"
"Store Name","店铺名称"
"Stock", "仓库中的商品"
"Store Management","店铺管理"
"Store Decoration","店铺装修"
"Store Settings","店铺基本设置"
"Store Settings","店铺设置"
"Store Vistors Composing","店铺流量构成"
"Sort","排序"
"The approval would speed 1~3 working days. Click here to know more about it.","审核将需要1-3个工作日。点击这里了解更多信息。"
"The lisence images are required and cannot be empty.","证件照片是必填项且不能为空。"
"This Week:&nbsp;","本周"
"This Month:&nbsp;","本月"
"Transaction Management", "交易管理"
"Transaction","交易提醒"
"Update Time:&nbsp;%s","更新时间&nbsp;%s"
"View Store","查看店铺"
"View My Store","查看我的店铺"
"Watermark","水印"
"Wireless","无线端"
"Your application is processing. Please wait for a while.","正在处理您的申请，请耐心等待。"
"Yesterday:&nbsp;","昨天"
