"%d item(s) have been deleted successfully.","成功删除了%d条记录。"
"Admin Panel","管理中心"
"ALL","全部"
"An error detected while deleting. Please check the log report or try again.","删除时发生了错误，请查看错误日志或重试。"
"An error detected while saving. Please check the log report or try again.","保存时发生了错误，请查看错误日志或重试。"
"An item has been saved successfully.","保存成功。"
"Add Language","新建语言"
"Add Merchant","新建商户"
"Add New Language","新建语言"
"Add New Merchant","新建商户"
"Add New Operation","新建操作"
"Add New Role","新建角色"
"Add New Store","新建店铺"
"Add New User","新建用户"
"Add Operation","新建操作"
"Add Role","新建角色"
"Add Store","新建店铺"
"Add User","新建用户"
"Cache Management","缓存管理"
"Code","代码"
"Compare","对比"
"Current Password","当前用户密码"
"Custom","自定义"
"Dashboard","仪表盘"
"Edit Language","编辑语言信息"
"Edit Merchant","编辑商户信息"
"Edit Operation","编辑操作信息"
"Edit Role","编辑角色信息"
"Edit Store","编辑店铺信息"
"Edit User","编辑用户信息"
"End Date","截止日期"
"Flush","清空"
"Flush All","全部清空"
"Global Configuration","全局配置"
"Grant","授权"
"Language Management","语言管理"
"Last 24 Hours","一天内"
"Last 30 Days","一月内"
"Last 12 Months","一年内"
"Log Into Seahinet Admin Panel","登录Seahinet管理中心"
"Login failed. Invalid username or password.","登录失败，用户名或密码错误。"
"My Account","我的账户"
"Operation","操作"
"Operation Management","操作管理"
"Others","其他"
"Permissions","权限管理"
"Role","角色"
"Role ID","角色ID"
"Role Info","角色信息"
"Role Management","角色管理"
"Start Date","起始日期"
"System Configuration","系统配置"
"The current password is incurrect.","当前密码输入有误。"
"The username does not exist.","该用户名不存在。"
"Unique Visitors","独立访客"
"User Management","用户管理"
"Welcome %s. Last Login: %s","欢迎%s。上次登陆时间: %s"
"You will receive an email with a link to reset your password.","您将会收到一封包含重置密码链接的邮件。"
