"Action","操作"
"An error detected. Please try again later.","发生了错误，请稍后重试。"
"Back to ","返回"
"Captcha","验证码"
"Confirm Password","确认密码"
"Edit","编辑"
"Enable","启用"
"Enabled","已启用"
"Description","描述"
"Disable","禁用"
"Disabled","已禁用"
"Forgot Your Password?","忘记密码？"
"Item(s) per page","每页显示"
"Invalid token.","授权失败。"
"Language","语言"
"Login","登录"
"Logout","注销"
"Management","管理"
"Name","名称"
"Password","密码"
"Remember Me","记住我"
"Reset","重置"
"Save","保存"
"Search","搜索"
"Sign in","登录"
"Sign out","退出"
"Status","状态"
"Submit","提交"
"Title","标题"
"The captcha value is wrong.","验证码输入有误。"
"The confirm password is not equal to the password.","两次密码输入不一致。"
"The form submitted did not originate from the expected site.","页面长时间未响应，请刷新后重试。"
"The name field is required and can not be empty.","名称不可为空"
"The password field is required and can not be empty.","密码不可为空。"
"The password has been reset successfully.","密码重置成功。"
"The username field is required and can not be empty.","用户名不可为空。"
"Username","用户名"
